symbol,name,sector,market_cap,ebitda_margin,roe,price_to_earnings,residual_log_pe,implied_multiple_gap,direction
MOH,Molina Healthcare,Health Care,10576763904.0,0.009183169245487963,0.0019947140459974336,1266.375,2.3773504773377594,9.776312920506516,richer than fundamentals
AXON,Axon Enterprise,Industrials,41185746944.0,0.05128950827290355,0.051511057595087964,217.588,2.0749567649677543,6.964202119055622,richer than fundamentals
CSGP,CoStar Group,Real Estate,12666477568.0,0.11079864812183908,0.009186017627102404,173.66666,2.0556996308371085,6.812301688255979,richer than fundamentals
PANW,Palo Alto Networks,Information Technology,267711201280.0,0.13986707029126783,0.034085565253847816,283.17242,1.9825069705693634,6.260923107660612,richer than fundamentals
CRWD,CrowdStrike,Information Technology,208288825344.0,0.01980321111489152,0.008789277357192017,5085.5,1.947427081097953,6.01062658216225,richer than fundamentals
TSLA,"Tesla, Inc.",Consumer Discretionary,1410028011520.0,0.10379370620569,0.04864742299062922,333.6542,1.72094117734633,4.5897869701617005,richer than fundamentals
PLTR,Palantir Technologies,Information Technology,407222288384.0,0.4325301626031926,0.28761061525313664,144.83762,1.5687759212170942,3.8007680773014094,richer than fundamentals
WAT,Waters Corporation,Health Care,40472211456.0,0.3126525869592452,0.025469308767054336,104.61929,1.5037996967908835,3.498750523563566,richer than fundamentals
BLDR,Builders FirstSource,Industrials,6788260352.0,0.07076842773113484,0.02498321238714592,67.83871,1.1813864090205417,2.258889225751782,richer than fundamentals
AMD,Advanced Micro Devices,Information Technology,746139025408.0,0.23149740303179578,0.0944380981366707,117.49614,1.150224804349087,2.1589029649998923,richer than fundamentals
ALL,Allstate,Financials,65576181760.0,0.24403665349351678,0.4025129719836143,5.16305,-1.4536778375856985,-0.7662908388151175,cheaper than fundamentals
FIS,Fidelity National Information Services,Financials,21592606720.0,0.28885247587188956,0.20945274792148758,6.431643,-1.209108939046894,-0.7015368902001478,cheaper than fundamentals
HON,Honeywell,Industrials,65311830016.0,0.22366448608806963,0.44488518490519813,7.9196773,-1.200211634120739,-0.6988695243153895,cheaper than fundamentals
CHTR,Charter Communications,Communication Services,21425577984.0,0.40104050172137284,0.29404317012003095,3.80402,-1.197037170429864,-0.6979120776683374,cheaper than fundamentals
T,AT&T,Communication Services,177819418624.0,0.3531857469948226,0.18809169162482406,8.592715,-1.1845396477404164,-0.6941130371542172,cheaper than fundamentals
CMCSA,Comcast,Communication Services,95138947072.0,0.2727935193923292,0.12563706155203444,8.430818,-1.162120759001882,-0.687177943284899,cheaper than fundamentals
EIX,Edison International,Utilities,21237882880.0,0.4597641548929997,0.21372328393768453,5.6955624,-1.1601338801675531,-0.6865557858904949,cheaper than fundamentals
AES,AES Corporation,Utilities,10558892032.0,0.3117818378535731,0.3852814052743648,5.5430713,-1.1491215337595175,-0.6830849536980064,cheaper than fundamentals
UHS,Universal Health Services,Health Care,9871277056.0,0.1490306056965315,0.1921719333889051,6.8363266,-1.12002059954643,-0.6737269265235125,cheaper than fundamentals
ACGL,Arch Capital Group,Financials,33512112128.0,0.2893614892736466,0.18633449244035558,7.714847,-1.0902923341355035,-0.6638817794862921,cheaper than fundamentals
